"order_number","date","month_number","name","category","size","quantity","price","revenue"
"35","2015-01-01","1","The Thai Chicken Pizza","Chicken","L",1,"20.75","20.75"
"35","2015-01-01","1","The Green Garden Pizza","Veggie","M",1,"16.00","16.00"
"35","2015-01-01","1","The Pepperoni Pizza","Classic","M",1,"12.50","12.50"
"35","2015-01-01","1","The Pepperoni, Mushroom, and Peppers Pizza","Classic","L",1,"17.50","17.50"
"36","2015-01-01","1","The Classic Deluxe Pizza","Classic","M",1,"16.00","16.00"
"36","2015-01-01","1","The Barbecue Chicken Pizza","Chicken","M",1,"16.75","16.75"
"37","2015-01-01","1","The Italian Supreme Pizza","Supreme","L",1,"20.75","20.75"
"37","2015-01-01","1","The Mexicana Pizza","Veggie","L",1,"20.25","20.25"
"38","2015-01-01","1","The Italian Capocollo Pizza","Classic","L",1,"20.50","20.50"
"38","2015-01-01","1","The Hawaiian Pizza","Classic","S",1,"10.50","10.50"
"39","2015-01-01","1","The Italian Supreme Pizza","Supreme","L",1,"20.75","20.75"
"40","2015-01-01","1","The Southwest Chicken Pizza","Chicken","S",1,"12.75","12.75"
"40","2015-01-01","1","The Four Cheese Pizza","Veggie","L",1,"17.95","17.95"
"41","2015-01-01","1","The Green Garden Pizza","Veggie","S",1,"12.00","12.00"
"41","2015-01-01","1","The Four Cheese Pizza","Veggie","M",1,"14.75","14.75"
"42","2015-01-01","1","The Five Cheese Pizza","Veggie","L",1,"18.50","18.50"
"42","2015-01-01","1","The Big Meat Pizza","Classic","S",1,"12.00","12.00"
"42","2015-01-01","1","The Mexicana Pizza","Veggie","L",1,"20.25","20.25"
"42","2015-01-01","1","The Pepper Salami Pizza","Supreme","M",1,"16.50","16.50"
"43","2015-01-01","1","The Italian Supreme Pizza","Supreme","M",1,"16.50","16.50"
"43","2015-01-01","1","The Chicken Alfredo Pizza","Chicken","M",1,"16.75","16.75"
"43","2015-01-01","1","The Pepper Salami Pizza","Supreme","L",1,"20.75","20.75"
"44","2015-01-01","1","The Spinach Pesto Pizza","Veggie","S",1,"12.50","12.50"
"45","2015-01-01","1","The Four Cheese Pizza","Veggie","L",1,"17.95","17.95"
"45","2015-01-01","1","The Thai Chicken Pizza","Chicken","M",1,"16.75","16.75"
"45","2015-01-01","1","The Hawaiian Pizza","Classic","S",1,"10.50","10.50"
"46","2015-01-01","1","The Chicken Pesto Pizza","Chicken","L",1,"20.75","20.75"
"46","2015-01-01","1","The Classic Deluxe Pizza","Classic","L",1,"20.50","20.50"
"46","2015-01-01","1","The Thai Chicken Pizza","Chicken","M",1,"16.75","16.75"
"47","2015-01-01","1","The Vegetables + Vegetables Pizza","Veggie","S",1,"12.00","12.00"
"47","2015-01-01","1","The Southwest Chicken Pizza","Chicken","L",1,"20.75","20.75"
"48","2015-01-01","1","The Green Garden Pizza","Veggie","S",1,"12.00","12.00"
"48","2015-01-01","1","The Spicy Italian Pizza","Supreme","L",1,"20.75","20.75"
"48","2015-01-01","1","The Prosciutto and Arugula Pizza","Supreme","L",1,"20.75","20.75"
"48","2015-01-01","1","The Chicken Pesto Pizza","Chicken","M",1,"16.75","16.75"
"49","2015-01-01","1","The Sicilian Pizza","Supreme","L",1,"20.25","20.25"
"50","2015-01-01","1","The Greek Pizza","Classic","XL",1,"25.50","25.50"
"51","2015-01-01","1","The Barbecue Chicken Pizza","Chicken","L",1,"20.75","20.75"
"51","2015-01-01","1","The Pepperoni, Mushroom, and Peppers Pizza","Classic","L",1,"17.50","17.50"
"52","2015-01-01","1","The Mexicana Pizza","Veggie","L",1,"20.25","20.25"
"52","2015-01-01","1","The Spicy Italian Pizza","Supreme","L",1,"20.75","20.75"
"52","2015-01-01","1","The Hawaiian Pizza","Classic","L",1,"16.50","16.50"
"53","2015-01-01","1","The Pepperoni, Mushroom, and Peppers Pizza","Classic","S",1,"11.00","11.00"
"53","2015-01-01","1","The Spinach Supreme Pizza","Supreme","M",1,"16.50","16.50"
"54","2015-01-01","1","The Prosciutto and Arugula Pizza","Supreme","M",1,"16.50","16.50"
"54","2015-01-01","1","The Thai Chicken Pizza","Chicken","L",1,"20.75","20.75"
"55","2015-01-01","1","The Pepper Salami Pizza","Supreme","S",1,"12.50","12.50"
"55","2015-01-01","1","The Spicy Italian Pizza","Supreme","L",1,"20.75","20.75"
"56","2015-01-01","1","The Classic Deluxe Pizza","Classic","M",1,"16.00","16.00"
"56","2015-01-01","1","The Mediterranean Pizza","Veggie","L",1,"20.25","20.25"
"56","2015-01-01","1","The Southwest Chicken Pizza","Chicken","M",1,"16.75","16.75"
"57","2015-01-01","1","The Classic Deluxe Pizza","Classic","M",1,"16.00","16.00"
"58","2015-01-01","1","The Five Cheese Pizza","Veggie","L",1,"18.50","18.50"
"58","2015-01-01","1","The Pepperoni Pizza","Classic","M",1,"12.50","12.50"
"59","2015-01-01","1","The Italian Vegetables Pizza","Veggie","S",1,"12.75","12.75"
"59","2015-01-01","1","The Pepperoni, Mushroom, and Peppers Pizza","Classic","S",1,"11.00","11.00"
"59","2015-01-01","1","The Pepperoni Pizza","Classic","L",1,"15.25","15.25"
"60","2015-01-01","1","The Four Cheese Pizza","Veggie","M",1,"14.75","14.75"
"60","2015-01-01","1","The Chicken Pesto Pizza","Chicken","L",1,"20.75","20.75"
"61","2015-01-01","1","The Italian Supreme Pizza","Supreme","L",1,"20.75","20.75"
"61","2015-01-01","1","The Barbecue Chicken Pizza","Chicken","M",1,"16.75","16.75"
"62","2015-01-01","1","The Spinach Supreme Pizza","Supreme","M",1,"16.50","16.50"
"62","2015-01-01","1","The Barbecue Chicken Pizza","Chicken","M",1,"16.75","16.75"
"63","2015-01-01","1","The Pepperoni, Mushroom, and Peppers Pizza","Classic","M",1,"14.50","14.50"
"64","2015-01-01","1","The Big Meat Pizza","Classic","S",1,"12.00","12.00"
"65","2015-01-01","1","The Spinach Supreme Pizza","Supreme","M",1,"16.50","16.50"
"65","2015-01-01","1","The Pepperoni, Mushroom, and Peppers Pizza","Classic","S",1,"11.00","11.00"
"65","2015-01-01","1","The Sicilian Pizza","Supreme","S",1,"12.25","12.25"
"65","2015-01-01","1","The Spicy Italian Pizza","Supreme","S",1,"12.50","12.50"
"66","2015-01-01","1","The Italian Capocollo Pizza","Classic","M",1,"16.00","16.00"
"66","2015-01-01","1","The Classic Deluxe Pizza","Classic","M",1,"16.00","16.00"
"67","2015-01-01","1","The Southwest Chicken Pizza","Chicken","L",1,"20.75","20.75"
"68","2015-01-01","1","The Italian Supreme Pizza","Supreme","L",1,"20.75","20.75"
"68","2015-01-01","1","The Classic Deluxe Pizza","Classic","M",1,"16.00","16.00"
"68","2015-01-01","1","The Italian Supreme Pizza","Supreme","M",1,"16.50","16.50"
"69","2015-01-01","1","The Barbecue Chicken Pizza","Chicken","L",1,"20.75","20.75"
"70","2015-01-02","1","The Soppressata Pizza","Supreme","L",1,"20.75","20.75"
"70","2015-01-02","1","The Italian Vegetables Pizza","Veggie","S",1,"12.75","12.75"
"71","2015-01-02","1","The Thai Chicken Pizza","Chicken","L",1,"20.75","20.75"
"72","2015-01-02","1","The Spinach and Feta Pizza","Veggie","L",1,"20.25","20.25"
"73","2015-01-02","1","The Thai Chicken Pizza","Chicken","S",1,"12.75","12.75"
"74","2015-01-02","1","The Spinach Pesto Pizza","Veggie","S",1,"12.50","12.50"
"74","2015-01-02","1","The Spinach Supreme Pizza","Supreme","L",1,"20.75","20.75"
"74","2015-01-02","1","The Mexicana Pizza","Veggie","L",1,"20.25","20.25"
"74","2015-01-02","1","The Five Cheese Pizza","Veggie","L",1,"18.50","18.50"
"75","2015-01-02","1","The Napolitana Pizza","Classic","L",1,"20.50","20.50"
"75","2015-01-02","1","The Mediterranean Pizza","Veggie","L",1,"20.25","20.25"
"75","2015-01-02","1","The Italian Supreme Pizza","Supreme","S",1,"12.50","12.50"
"76","2015-01-02","1","The Spicy Italian Pizza","Supreme","L",1,"20.75","20.75"
"76","2015-01-02","1","The Big Meat Pizza","Classic","S",1,"12.00","12.00"
"76","2015-01-02","1","The Hawaiian Pizza","Classic","L",1,"16.50","16.50"
"76","2015-01-02","1","The Italian Vegetables Pizza","Veggie","L",1,"21.00","21.00"
"77","2015-01-02","1","The Hawaiian Pizza","Classic","M",1,"13.25","13.25"
"77","2015-01-02","1","The Barbecue Chicken Pizza","Chicken","M",1,"16.75","16.75"
"78","2015-01-02","1","The Classic Deluxe Pizza","Classic","S",1,"12.00","12.00"
"78","2015-01-02","1","The Big Meat Pizza","Classic","S",1,"12.00","12.00"
"78","2015-01-02","1","The Thai Chicken Pizza","Chicken","S",1,"12.75","12.75"
"78","2015-01-02","1","The Italian Capocollo Pizza","Classic","M",1,"16.00","16.00"
"78","2015-01-02","1","The Four Cheese Pizza","Veggie","L",1,"17.95","17.95"
"78","2015-01-02","1","The Spicy Italian Pizza","Supreme","L",3,"20.75","62.25"
"79","2015-01-02","1","The Thai Chicken Pizza","Chicken","L",1,"20.75","20.75"
"79","2015-01-02","1","The Pepperoni, Mushroom, and Peppers Pizza","Classic","S",1,"11.00","11.00"
"79","2015-01-02","1","The Italian Capocollo Pizza","Classic","L",1,"20.50","20.50"
"80","2015-01-02","1","The Pepperoni Pizza","Classic","S",1,"9.75","9.75"
"80","2015-01-02","1","The Thai Chicken Pizza","Chicken","M",1,"16.75","16.75"
"81","2015-01-02","1","The Thai Chicken Pizza","Chicken","L",1,"20.75","20.75"
"82","2015-01-02","1","The Big Meat Pizza","Classic","S",1,"12.00","12.00"
"82","2015-01-02","1","The Vegetables + Vegetables Pizza","Veggie","M",1,"16.00","16.00"
"82","2015-01-02","1","The California Chicken Pizza","Chicken","M",1,"16.75","16.75"
"82","2015-01-02","1","The Spicy Italian Pizza","Supreme","L",1,"20.75","20.75"
"83","2015-01-02","1","The Southwest Chicken Pizza","Chicken","S",1,"12.75","12.75"
"84","2015-01-02","1","The Pepperoni Pizza","Classic","L",1,"15.25","15.25"
"85","2015-01-02","1","The Classic Deluxe Pizza","Classic","M",1,"16.00","16.00"
"85","2015-01-02","1","The Italian Supreme Pizza","Supreme","L",1,"20.75","20.75"
"85","2015-01-02","1","The Greek Pizza","Classic","M",1,"16.00","16.00"
"85","2015-01-02","1","The Classic Deluxe Pizza","Classic","S",1,"12.00","12.00"
"86","2015-01-02","1","The Hawaiian Pizza","Classic","L",1,"16.50","16.50"
"87","2015-01-02","1","The Spinach Supreme Pizza","Supreme","S",1,"12.50","12.50"
"87","2015-01-02","1","The Italian Capocollo Pizza","Classic","M",1,"16.00","16.00"
"87","2015-01-02","1","The Spinach Supreme Pizza","Supreme","L",1,"20.75","20.75"
"87","2015-01-02","1","The Mexicana Pizza","Veggie","M",1,"16.00","16.00"
"88","2015-01-02","1","The Five Cheese Pizza","Veggie","L",1,"18.50","18.50"
"89","2015-01-02","1","The Thai Chicken Pizza","Chicken","L",1,"20.75","20.75"
"89","2015-01-02","1","The Soppressata Pizza","Supreme","L",1,"20.75","20.75"
"90","2015-01-02","1","The Sicilian Pizza","Supreme","L",1,"20.25","20.25"
"90","2015-01-02","1","The Thai Chicken Pizza","Chicken","S",1,"12.75","12.75"
"91","2015-01-02","1","The Pepperoni Pizza","Classic","S",1,"9.75","9.75"
"91","2015-01-02","1","The Barbecue Chicken Pizza","Chicken","L",2,"20.75","41.50"
"91","2015-01-02","1","The Chicken Pesto Pizza","Chicken","S",1,"12.75","12.75"
"92","2015-01-02","1","The Italian Supreme Pizza","Supreme","M",1,"16.50","16.50"
"92","2015-01-02","1","The Italian Vegetables Pizza","Veggie","S",1,"12.75","12.75"
"92","2015-01-02","1","The Pepper Salami Pizza","Supreme","M",1,"16.50","16.50"
"92","2015-01-02","1","The Pepperoni Pizza","Classic","M",1,"12.50","12.50"
"92","2015-01-02","1","The Spinach and Feta Pizza","Veggie","S",1,"12.00","12.00"
"92","2015-01-02","1","The Spinach Supreme Pizza","Supreme","S",1,"12.50","12.50"
"92","2015-01-02","1","The Greek Pizza","Classic","M",2,"16.00","32.00"
"92","2015-01-02","1","The Barbecue Chicken Pizza","Chicken","M",1,"16.75","16.75"
"92","2015-01-02","1","The Italian Supreme Pizza","Supreme","L",1,"20.75","20.75"
"93","2015-01-02","1","The Sicilian Pizza","Supreme","M",1,"16.25","16.25"
"94","2015-01-02","1","The Southwest Chicken Pizza","Chicken","S",1,"12.75","12.75"
"94","2015-01-02","1","The Italian Capocollo Pizza","Classic","M",1,"16.00","16.00"
"95","2015-01-02","1","The Pepper Salami Pizza","Supreme","L",1,"20.75","20.75"
"95","2015-01-02","1","The Napolitana Pizza","Classic","S",1,"12.00","12.00"
"96","2015-01-02","1","The Napolitana Pizza","Classic","S",1,"12.00","12.00"
"97","2015-01-02","1","The Big Meat Pizza","Classic","S",1,"12.00","12.00"
"98","2015-01-02","1","The Napolitana Pizza","Classic","L",1,"20.50","20.50"
"98","2015-01-02","1","The Classic Deluxe Pizza","Classic","L",1,"20.50","20.50"
"99","2015-01-02","1","The Italian Supreme Pizza","Supreme","L",1,"20.75","20.75"
"100","2015-01-02","1","The Hawaiian Pizza","Classic","L",1,"16.50","16.50"
"101","2015-01-02","1","The Soppressata Pizza","Supreme","L",1,"20.75","20.75"
"101","2015-01-02","1","The Spicy Italian Pizza","Supreme","M",1,"16.50","16.50"
"101","2015-01-02","1","The Pepperoni Pizza","Classic","L",1,"15.25","15.25"
"101","2015-01-02","1","The California Chicken Pizza","Chicken","L",1,"20.75","20.75"
"102","2015-01-02","1","The Prosciutto and Arugula Pizza","Supreme","S",1,"12.50","12.50"
"102","2015-01-02","1","The Barbecue Chicken Pizza","Chicken","S",1,"12.75","12.75"
"103","2015-01-02","1","The Spinach Supreme Pizza","Supreme","S",1,"12.50","12.50"
"104","2015-01-02","1","The Barbecue Chicken Pizza","Chicken","M",1,"16.75","16.75"
"104","2015-01-02","1","The Italian Vegetables Pizza","Veggie","M",1,"16.75","16.75"
"104","2015-01-02","1","The Chicken Alfredo Pizza","Chicken","M",1,"16.75","16.75"
"104","2015-01-02","1","The Vegetables + Vegetables Pizza","Veggie","L",1,"20.25","20.25"
"105","2015-01-02","1","The Pepperoni Pizza","Classic","L",1,"15.25","15.25"
"105","2015-01-02","1","The Prosciutto and Arugula Pizza","Supreme","M",1,"16.50","16.50"
"105","2015-01-02","1","The Hawaiian Pizza","Classic","S",2,"10.50","21.00"
"106","2015-01-02","1","The Spicy Italian Pizza","Supreme","L",1,"20.75","20.75"
"106","2015-01-02","1","The Mexicana Pizza","Veggie","L",1,"20.25","20.25"
"107","2015-01-02","1","The Italian Supreme Pizza","Supreme","M",1,"16.50","16.50"
"107","2015-01-02","1","The California Chicken Pizza","Chicken","L",1,"20.75","20.75"
"107","2015-01-02","1","The Spicy Italian Pizza","Supreme","L",1,"20.75","20.75"
"107","2015-01-02","1","The Vegetables + Vegetables Pizza","Veggie","L",1,"20.25","20.25"
"108","2015-01-02","1","The Spinach Supreme Pizza","Supreme","L",1,"20.75","20.75"
"108","2015-01-02","1","The Classic Deluxe Pizza","Classic","L",1,"20.50","20.50"
"108","2015-01-02","1","The Hawaiian Pizza","Classic","L",1,"16.50","16.50"
"109","2015-01-02","1","The Pepperoni Pizza","Classic","M",1,"12.50","12.50"
"109","2015-01-02","1","The Italian Supreme Pizza","Supreme","L",1,"20.75","20.75"
"109","2015-01-02","1","The Italian Capocollo Pizza","Classic","L",1,"20.50","20.50"
"109","2015-01-02","1","The Prosciutto and Arugula Pizza","Supreme","L",1,"20.75","20.75"
"110","2015-01-02","1","The Spicy Italian Pizza","Supreme","S",1,"12.50","12.50"
"110","2015-01-02","1","The Napolitana Pizza","Classic","L",1,"20.50","20.50"
"110","2015-01-02","1","The Big Meat Pizza","Classic","S",1,"12.00","12.00"
"110","2015-01-02","1","The Soppressata Pizza","Supreme","L",1,"20.75","20.75"
"111","2015-01-02","1","The Spinach Pesto Pizza","Veggie","L",1,"20.75","20.75"
"111","2015-01-02","1","The Five Cheese Pizza","Veggie","L",1,"18.50","18.50"
"111","2015-01-02","1","The California Chicken Pizza","Chicken","M",1,"16.75","16.75"
"111","2015-01-02","1","The Pepperoni Pizza","Classic","M",1,"12.50","12.50"
"112","2015-01-02","1","The Pepperoni Pizza","Classic","S",1,"9.75","9.75"
"113","2015-01-02","1","The Mexicana Pizza","Veggie","L",1,"20.25","20.25"
"113","2015-01-02","1","The Southwest Chicken Pizza","Chicken","M",1,"16.75","16.75"
"113","2015-01-02","1","The California Chicken Pizza","Chicken","L",1,"20.75","20.75"
"114","2015-01-02","1","The Sicilian Pizza","Supreme","S",1,"12.25","12.25"
"114","2015-01-02","1","The Pepperoni Pizza","Classic","L",1,"15.25","15.25"
"115","2015-01-02","1","The Napolitana Pizza","Classic","L",1,"20.50","20.50"
"115","2015-01-02","1","The Big Meat Pizza","Classic","S",1,"12.00","12.00"
"115","2015-01-02","1","The Thai Chicken Pizza","Chicken","M",1,"16.75","16.75"
"116","2015-01-02","1","The Five Cheese Pizza","Veggie","L",1,"18.50","18.50"
"117","2015-01-02","1","The Pepper Salami Pizza","Supreme","M",1,"16.50","16.50"
"117","2015-01-02","1","The Sicilian Pizza","Supreme","L",1,"20.25","20.25"
"118","2015-01-02","1","The Spinach and Feta Pizza","Veggie","S",1,"12.00","12.00"
"118","2015-01-02","1","The Prosciutto and Arugula Pizza","Supreme","L",1,"20.75","20.75"
"119","2015-01-02","1","The Four Cheese Pizza","Veggie","M",1,"14.75","14.75"
"120","2015-01-02","1","The Spinach and Feta Pizza","Veggie","L",1,"20.25","20.25"
"120","2015-01-02","1","The Hawaiian Pizza","Classic","S",1,"10.50","10.50"
"120","2015-01-02","1","The Classic Deluxe Pizza","Classic","S",1,"12.00","12.00"
"121","2015-01-02","1","The Sicilian Pizza","Supreme","L",1,"20.25","20.25"
"121","2015-01-02","1","The Four Cheese Pizza","Veggie","L",1,"17.95","17.95"
"121","2015-01-02","1","The Barbecue Chicken Pizza","Chicken","M",1,"16.75","16.75"
"121","2015-01-02","1","The Southwest Chicken Pizza","Chicken","L",1,"20.75","20.75"
"122","2015-01-02","1","The Italian Supreme Pizza","Supreme","M",1,"16.50","16.50"
"123","2015-01-02","1","The Italian Capocollo Pizza","Classic","S",1,"12.00","12.00"
"124","2015-01-02","1","The Sicilian Pizza","Supreme","L",1,"20.25","20.25"
"124","2015-01-02","1","The Greek Pizza","Classic","S",1,"12.00","12.00"
"124","2015-01-02","1","The Spicy Italian Pizza","Supreme","L",1,"20.75","20.75"
"124","2015-01-02","1","The Barbecue Chicken Pizza","Chicken","S",1,"12.75","12.75"
"125","2015-01-02","1","The Greek Pizza","Classic","XL",1,"25.50","25.50"
"126","2015-01-02","1","The Vegetables + Vegetables Pizza","Veggie","L",1,"20.25","20.25"
"127","2015-01-02","1","The Pepperoni Pizza","Classic","M",1,"12.50","12.50"
"128","2015-01-02","1","The Spicy Italian Pizza","Supreme","S",1,"12.50","12.50"
"129","2015-01-02","1","The Greek Pizza","Classic","M",1,"16.00","16.00"
"129","2015-01-02","1","The Big Meat Pizza","Classic","S",1,"12.00","12.00"
"130","2015-01-02","1","The Southwest Chicken Pizza","Chicken","S",1,"12.75","12.75"
"130","2015-01-02","1","The Hawaiian Pizza","Classic","S",1,"10.50","10.50"
"130","2015-01-02","1","The Italian Capocollo Pizza","Classic","L",1,"20.50","20.50"
"130","2015-01-02","1","The Mexicana Pizza","Veggie","M",1,"16.00","16.00"
"131","2015-01-02","1","The Spinach Supreme Pizza","Supreme","S",1,"12.50","12.50"
"131","2015-01-02","1","The Chicken Pesto Pizza","Chicken","L",1,"20.75","20.75"
"131","2015-01-02","1","The Five Cheese Pizza","Veggie","L",1,"18.50","18.50"
"131","2015-01-02","1","The Green Garden Pizza","Veggie","S",1,"12.00","12.00"
"132","2015-01-02","1","The Pepperoni Pizza","Classic","S",1,"9.75","9.75"
"133","2015-01-02","1","The Barbecue Chicken Pizza","Chicken","L",1,"20.75","20.75"
"133","2015-01-02","1","The Greek Pizza","Classic","S",1,"12.00","12.00"
"133","2015-01-02","1","The Hawaiian Pizza","Classic","L",1,"16.50","16.50"
"134","2015-01-02","1","The Spinach Supreme Pizza","Supreme","S",1,"12.50","12.50"
"134","2015-01-02","1","The Southwest Chicken Pizza","Chicken","L",1,"20.75","20.75"
"134","2015-01-02","1","The Big Meat Pizza","Classic","S",1,"12.00","12.00"
